matched_player_key,draft_year,source_site,mock_pick,actual_pick,mock_player,actual_player,sentence_clean,llm_scouting_relevance,is_scouting_sentence,llm_trait_families,llm_trait_quality,llm_translation_caveat,llm_true_negative_trait,llm_risk_or_context,llm_confidence,llm_short_reason,source_url,canonical_url,sentence_source_group,sentence_source_file,row_id
luigi suigo,2026,nbadraft_net,25,,Luigi Suigo,Luigi Suigo,"Luigi Suigo measured 7′ 2.75” barefoot, 289.0 lbs, 7′ 5.50” wingspan, 9′ 6.00” standing reach, but did not complete athletic testing at the 2026 NBA Draft Combine….",scouting,True,athleticism_tools,not_discussed,False,False,none,0.8,Provides physical measurements but lacks athletic testing results from the combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_packaged_083357,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_083357.csv,24
luigi suigo,2026,nbadraft_net,25,,Luigi Suigo,Luigi Suigo,"Measured: 7’3″, 9’6″ standing reach, 241 lbs,7’4.75″ wingspan, 20″ standing vert, and a 27.75″ max vert at the 2024 Basketball Without Borders Europe … Measured: 7’3″ barefoot, 9’6″ standing reach, 245 lbs, 7’3.75″ wingspan, 19.25″ standing vert, 27″ max vert at the 2025 Basketball Without Borders …",scouting,True,athleticism_tools,not_discussed,False,False,none,0.8,Provides physical measurements of Luigi Suigo's athleticism tools at various events,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_packaged_083357,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_083357.csv,24
zuby ejiofor,2026,nbadraft_net,36,,Zuby Ejiofor,Zuby Ejiofor,"Zuby Ejiofor measured 6′ 7.50” barefoot, 245.2 lbs, 7′ 2.00” wingspan, 8′ 11.00” standing reach, 34.0 no step vertical, and 38.0 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_packaged_083357,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_083357.csv,35
keyshawn hall,2026,nbadraft_net,39,,Keyshawn Hall,Keyshawn Hall,"Keyshawn Hall measured 6′ 6.00” barefoot, 227.4 lbs, 6′ 10.25” wingspan, 8′ 9.00” standing reach, 30.0 no step vertical, and 34.0 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_packaged_083357,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_083357.csv,38
ryan conwell,2026,nbadraft_net,44,,Ryan Conwell,Ryan Conwell,"Ryan Conwell measured 6′ 2.00” barefoot, 214.8 lbs, 6′ 7.00” wingspan, 8′ 0.50” standing reach, 32.5 no step vertical, and 39.5 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_packaged_083357,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_083357.csv,43
izaiyah nelson,2026,nbadraft_net,45,,Izaiyah Nelson,Izaiyah Nelson,"Izaiyah Nelson measured 6′ 8.25” barefoot, 219.4 lbs, 7′ 2.50” wingspan, 9′ 0.00” standing reach, 32.5 no step vertical, and 38.5 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_packaged_083357,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_083357.csv,44
richie saunders,2026,nbadraft_net,52,,Richie Saunders,Richie Saunders,"Richie Saunders measured 6′ 5.00” barefoot, 204.8 lbs, 6′ 8.75” wingspan, 8′ 6.50” standing reach, but did not complete athletic testing at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.8,Provides physical measurements but lacks athletic testing results,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_packaged_083357,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_083357.csv,51
tobi lawal,2026,nbadraft_net,53,,Tobi Lawal,Tobi Lawal,"Tobi Lawal measured 6′ 7.25” barefoot, 214.4 lbs, 6′ 10.50” wingspan, 8′ 8.50” standing reach, 40.0 no step vertical, and 45.5 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_packaged_083357,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_083357.csv,52
rafael castro,2026,nbadraft_net,54,,Rafael Castro,Rafael Castro,"Rafael Castro measured 6′ 9.00” barefoot, 224.4 lbs, 7′ 1.25” wingspan, 9′ 1.50” standing reach, 31.0 no step vertical, and 36.5 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_packaged_083357,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_083357.csv,53
tobe awaka,2026,nbadraft_net,57,,Tobe Awaka,Tobe Awaka,"Tobe Awaka measured 6′ 8.00” barefoot, 261.4 lbs, 7′ 2.25” wingspan, 8′ 9.00” standing reach, 32.5 no step vertical, and 37.5 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_packaged_083357,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_083357.csv,56
emanuel sharp,2026,nbadraft_net,58,,Emanuel Sharp,Emanuel Sharp,"Emanuel Sharp measured 6′ 2.75” barefoot, 208.4 lbs, 6′ 3.00” wingspan, 8′ 2.50” standing reach, 27.5 no step vertical, and 33.0 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_packaged_083357,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_083357.csv,57
nick martinelli,2026,nbadraft_net,59,,Nick Martinelli,Nick Martinelli,"Nick Martinelli measured 6′ 6.50” barefoot, 223.6 lbs, 6′ 10.00” wingspan, 8′ 8.50” standing reach, 26.5 no step vertical, and 33.0 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_packaged_083357,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_083357.csv,58
zuby ejiofor,2026,espn,29,,Zuby Ejiofor,Zuby Ejiofor,"In the middle of this current competitive window, Cleveland can justify picking for need at this slot, with a number of proven veteran college players probably available at this stage of the draft.",scouting,True,,not_discussed,False,False,none,0.8,Discussion about draft pick being based on team need rather than player's individual skills,https://www.espn.com/nba/story/_/id/48790115/2026-nba-mock-draft-projecting-60-picks-post-combine-peterson-dybantsa-boozer,https://www.espn.com/nba/story/_/id/48790115/2026-nba-mock-draft-projecting-60-picks-post-combine-peterson-dybantsa-boozer,future_2026_llm_sentence_labels_packaged_083357,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_083357.csv,88
luigi suigo,2026,nbadraft_net,25,,Luigi Suigo,Luigi Suigo,"Luigi Suigo measured 7′ 2.75” barefoot, 289.0 lbs, 7′ 5.50” wingspan, 9′ 6.00” standing reach, but did not complete athletic testing at the 2026 NBA Draft Combine….",scouting,True,athleticism_tools,not_discussed,False,False,none,0.8,Provides physical measurements but lacks athletic testing results from the combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,24
luigi suigo,2026,nbadraft_net,25,,Luigi Suigo,Luigi Suigo,"Measured: 7’3″, 9’6″ standing reach, 241 lbs,7’4.75″ wingspan, 20″ standing vert, and a 27.75″ max vert at the 2024 Basketball Without Borders Europe … Measured: 7’3″ barefoot, 9’6″ standing reach, 245 lbs, 7’3.75″ wingspan, 19.25″ standing vert, 27″ max vert at the 2025 Basketball Without Borders …",scouting,True,athleticism_tools,not_discussed,False,False,none,0.8,Provides physical measurements of Luigi Suigo's athleticism tools at various events,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,24
zuby ejiofor,2026,nbadraft_net,36,,Zuby Ejiofor,Zuby Ejiofor,"Zuby Ejiofor measured 6′ 7.50” barefoot, 245.2 lbs, 7′ 2.00” wingspan, 8′ 11.00” standing reach, 34.0 no step vertical, and 38.0 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,35
keyshawn hall,2026,nbadraft_net,39,,Keyshawn Hall,Keyshawn Hall,"Keyshawn Hall measured 6′ 6.00” barefoot, 227.4 lbs, 6′ 10.25” wingspan, 8′ 9.00” standing reach, 30.0 no step vertical, and 34.0 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,38
